"fips","state","mean_no2","mean_ozone"
17143,"IL",19.4286103,37.29608448
17145,"IL",12.2003682,39.55256697
17147,"IL",18.29622603,38.43347806
17149,"IL",12.20492153,38.76537727
17151,"IL",7.591319646,40.27614122
17153,"IL",12.98931559,40.49050103
17155,"IL",16.32036496,37.33686378
17157,"IL",11.92607912,39.82567409
17159,"IL",12.07501149,38.87740003
17161,"IL",13.70409784,36.55326423
17163,"IL",22.19792868,38.32769084
17165,"IL",11.68153019,40.17968408
17167,"IL",21.78279464,39.05420962
17169,"IL",9.931274316,38.07361561
17171,"IL",14.5645193,40.58060025
17173,"IL",13.55611322,38.37467447
17175,"IL",14.356519,37.36235346
17177,"IL",14.35580878,38.11519488
17179,"IL",18.53408159,37.25560406
17181,"IL",9.26932265,39.9590839
17183,"IL",17.14885617,37.60799903
17185,"IL",12.63456596,38.32890841
17187,"IL",12.53406652,37.24761517
17189,"IL",14.27852864,39.84698085
17191,"IL",12.62001946,39.57583993
17193,"IL",13.7635775,39.92046387
17195,"IL",13.54465835,37.28380986
17197,"IL",29.19705423,35.94159674
17199,"IL",12.81661651,40.2487066
17201,"IL",24.48490814,36.82452631
17203,"IL",17.05666021,38.00450648
18001,"IN",15.91031298,38.62613135
18003,"IN",19.21204184,37.90107979
18005,"IN",14.93271053,39.49140893
18007,"IN",20.22819142,37.17669443
18009,"IN",16.08285829,39.52802692
18011,"IN",20.82374068,39.09650168
18013,"IN",10.39577758,37.92313523
18015,"IN",16.85068334,37.82428442
18017,"IN",15.16413965,38.0246677
18019,"IN",18.62237609,39.34538313
18021,"IN",13.47530689,37.98667393
18023,"IN",17.83574041,38.80564635
18025,"IN",10.71547242,39.57336422
18027,"IN",12.42936006,39.64232596
18029,"IN",14.6355261,39.32041744
18031,"IN",14.77745177,39.33386549
18033,"IN",14.61654101,39.10568568
18035,"IN",20.25060499,38.63800365
18037,"IN",11.39155183,39.04454753
18039,"IN",18.40500881,36.95138863
18041,"IN",15.29715605,40.27861479
18043,"IN",18.96096027,39.13611398
18045,"IN",16.43818986,37.88999091
18047,"IN",13.6410174,40.02775615
18049,"IN",15.23647909,37.32680778
18051,"IN",12.74519069,38.60689436
18053,"IN",18.74680818,39.10741744
18055,"IN",11.02568777,39.23808506
18057,"IN",23.07921162,38.57084312
18059,"IN",22.43486447,38.81402369
18061,"IN",11.78260714,39.51873968
18063,"IN",20.3074669,38.40704561
18065,"IN",20.95263729,39.29799884
18067,"IN",19.46232176,38.11940681
18069,"IN",14.81297194,39.10730035
18071,"IN",11.1428444,39.18232432
18073,"IN",19.47574493,36.49577223
18075,"IN",16.59779069,39.46052638
18077,"IN",11.67027636,39.54933681
18079,"IN",10.6818677,39.34607794
18081,"IN",19.71332646,38.66865593
18083,"IN",13.08400735,39.12889421
18085,"IN",14.43028283,38.35963286
18087,"IN",15.49349743,37.67597218
18089,"IN",30.24088472,34.88397784
18091,"IN",21.05914286,35.99965794
18093,"IN",11.21526447,38.54851744
18095,"IN",21.93290051,38.50070713
18097,"IN",26.22918664,38.35430096
18099,"IN",15.62511331,37.01277458
18101,"IN",9.198694783,39.11146037
18103,"IN",15.23174427,38.3083146
18105,"IN",13.9031443,38.31535776
18107,"IN",17.38723721,38.23143034
18109,"IN",17.20646881,38.86934188
18111,"IN",21.12285182,36.41093605
18113,"IN",13.77208263,38.45190108
18115,"IN",12.27636441,38.48105943
18117,"IN",10.20027175,39.26943991
18119,"IN",10.7737451,38.46672198
18121,"IN",11.08747894,37.7388067
18123,"IN",9.574825821,40.12720719
18125,"IN",10.29344867,38.49238794
18127,"IN",24.76651089,35.69915682
18129,"IN",13.56713291,39.47600865
18131,"IN",16.41276907,37.35303832
18133,"IN",14.42456265,38.39454277
18135,"IN",18.02111223,39.56608967
18137,"IN",13.08166271,39.35535814
